비상정지(E-Stop) 동작 여부 확인.	确认急停（E-Stop）是否动作。
인터록(interlock) 정상 동작 여부.	确认联锁（interlock）是否正常动作。
안전문 스위치 유무 확인.	确认安全门开关是否安装。
센서(포토, 근접) 감지 상태 확인.	确认传感器（光电、接近）检测状态。
PLC 통신 상태(OK/NG) 확인.	确认PLC通信状态（OK/NG）。
HMI 화면 표시 이상 유무.	确认HMI画面显示是否异常。
서보 모터 알람 발생 여부.	确认伺服电机是否发生报警。
인버터(FAN) 냉각 장치 설치 여부.	确认变频器（FAN）冷却装置是否安装。
케이블 간섭부 없을 것.	不得有电缆干涉部位。
배선 정리 상태 양호 여부.	确认配线整理状态是否良好。
접지(PE) 연결 상태 확인.	确认接地（PE）连接状态。
24VDC 전원 전압 23~25V 범위 유지.	保持24VDC电源电压在23~25V范围内。
220VAC 입력 전압 확인.	确认220VAC输入电压。
퓨즈(Fuse) 규격 및 장착 상태 확인.	确认保险丝（Fuse）规格及安装状态。
단자대(TB) 체결 토크 확인.	确认端子排（TB）紧固扭矩。
커넥터 체결(삽입) 상태 확인.	确认连接器紧固（插入）状态。
라벨/번호(Numbering) 부착 유무.	确认标签/编号（Numbering）是否粘贴。
설비 명판 부착 여부.	确认设备铭牌是否粘贴。
경고 라벨(주의/위험) 부착 여부.	确认警告标签（注意/危险）是否粘贴。
로봇 팔 4대 동작 범위 간섭 여부.	确认4台机器人手臂动作范围是否干涉。
원형 회전판 정/역회전 방향 확인.	确认圆形转台正/反转方向。
회전 속도(RPM) 설정값 표시 여부.	确认转速（RPM）设定值是否显示。
Jog 속도 설정 표시 시 단위 없음.	Jog速度设定显示时无单位。
동작 시 이상 소음 발생 여부.	确认运行时是否有异常噪音。
진동(Vibration) 허용치 이하 여부.	确认振动（Vibration）是否低于允许值。
누유/누기(air leak) 없음.	无漏油/漏气（air leak）。
에어 압력 0.5MPa 유지 여부.	确认气压是否保持在0.5MPa。
진공(Vacuum) 압력 -60kPa 이상 유지.	确认真空（Vacuum）压力是否保持在-60kPa以上。
실린더 전진/후진 센서 동작 확인.	确认气缸前进/后退传感器动作。
밸브(솔레노이드) 응답 지연 유무.	确认阀（电磁阀）是否有响应延迟。
컨베이어 벨트 장력 조정 상태 확인.	确认输送带张力调整状态。
벨트 편마모 유무.	确认皮带是否有偏磨。
풀리(Pulley) 정렬 상태 확인.	确认皮带轮（Pulley）对中状态。
베어링 소음/과열 여부.	确认轴承是否有异响/过热。
윤활 상태(그리스) 확인.	确认润滑状态（润滑脂）。
냉각 Fan 동작 여부.	确认冷却风扇是否动作。
Filter 오염 상태 점검.	检查过滤器（Filter）污染状态。
팬 방향(흡기/배기) 확인.	确认风扇方向（吸气/排气）。
온도 센서(PT100) 값 이상 유무.	确认温度传感器（PT100）数值是否异常。
히터(Heater) 출력 정상 여부.	确认加热器（Heater）输出是否正常。
PID 제어 파라미터 설정 확인.	确认PID控制参数设置。
기준값(Setpoint) 변경 권한 확인.	确认设定值（Setpoint）变更权限。
로그(Log) 저장 여부.	确认日志（Log）是否保存。
에러 코드(Error Code) 표시 정상 여부.	确认错误代码（Error Code）显示是否正常。
알람 기록(History) 확인.	确认报警记录（History）。
시퀀스 STEP별 가동 기준 확인.	确认各Sequence STEP的运行基准。
(1) STEP별 가동 기준 설비 고장률 5%이하.	（1）各STEP的运行基准中，设备故障率应低于5%。
공정 시작 조건(Ready) 충족 여부.	确认工艺启动条件（Ready）是否满足。
공정 종료 조건(Complete) 충족 여부.	确认工艺结束条件（Complete）是否满足。
자동/수동(AUTO/MANUAL) 모드 전환.	自动/手动（AUTO/MANUAL）模式切换。
원점복귀(Home) 동작 여부.	确认回原点（Home）是否动作。
리미트 스위치(Limit) 동작 확인.	确认限位开关（Limit）是否动作。
소프트 리미트 설정 확인.	确认软限位设置。
엔코더(Encoder) 피드백 이상 유무.	确认编码器（Encoder）反馈是否异常。
위치 오차(Position Error) 허용치 이상.	位置误差（Position Error）超过允许值。
토크(Torque) 제한값 설정 확인.	确认扭矩（Torque）限制值设置。
과부하(Overload) 보호 동작 여부.	确认过载（Overload）保护是否动作。
차단기(Breaker) 트립 이력 확인.	确认断路器（Breaker）跳闸历史。
접점(릴레이) 용착 유무.	确认触点（继电器）是否熔粘。
통신 포트(RS-485/Ethernet) 연결 확인.	确认通信端口（RS-485/Ethernet）连接。
IP 주소 설정 충돌 여부.	确认IP地址设置是否冲突。
스위치(Switch) 링크 LED 점등 확인.	确认交换机（Switch）链路LED是否点亮。
패킷 손실(packet loss) 유무.	确认是否存在丢包（packet loss）。
카메라 자동 스캔 기능 확인.	确认相机自动扫描功能。
초점(Focus) 자동 조정 정상 여부.	确认焦距（Focus）自动调节是否正常。
조명(Light) 밝기 설정 확인.	确认照明（Light）亮度设置。
이미지 저장 경로(Path) 접근 가능 여부.	确认图像保存路径（Path）是否可访问。
검사 결과 OK/NG 판정 기준 확인.	确认检测结果OK/NG判定标准。
샘플링(Sampling) 기준(5개소) 확인.	确认抽样（Sampling）标准（5处）。
Unit별 Sampling 확인할것(5개소).	请确认各单元（Unit）的Sampling（5处）。
