오늘 비가 올까?	今天会下雨吗？
지금 몇 시야?	现在几点了？
오늘은 좀 피곤해서 일찍 잘 거야.	今天有点累，想早点睡。
내일 아침 7시에 깨워 줘.	明天早上7点叫我起床。
커피는 아메리카노로 주세요.	咖啡请给我美式。
얼음은 빼 주세요.	请不要加冰。
이거 환불 가능해요?	这个可以退款吗？
영수증 좀 주세요.	请给我小票。
카드로 결제할게요.	我刷卡付款。
현금도 돼요?	可以付现金吗？
배달은 언제 와요?	外卖什么时候到？
주소를 다시 알려 드릴까요?	需要我再告诉您一次地址吗？
엘리베이터가 고장 났어요.	电梯坏了。
오늘은 휴무인가요?	今天休息吗？
예약을 취소하고 싶어요.	我想取消预约。
예약 시간은 18:30으로 바꿀 수 있나요?	可以把预约时间改成18:30吗？
지금 통화 가능해?	现在方便通话吗？
문자로 보내 줄래?	可以发短信给我吗？
이 파일을 이메일로 보내 주세요.	请把这个文件发到我的邮箱。
Wi-Fi 비밀번호가 뭐예요?	Wi-Fi密码是什么？
USB-C 케이블 있어요?	有USB-C线吗？
충전이 안 돼서 배터리를 바꿔야 할 것 같아.	充不上电，我可能得换电池了。
화면이 자꾸 깜빡여요.	屏幕老是闪。
앱이 갑자기 종료돼요.	应用突然退出了。
업데이트 후에 느려졌어요.	更新后变慢了。
로그인은 됐는데 결제가 안 돼요.	登录成功了，但无法付款。
비밀번호를 세 번 틀렸어요.	密码输错三次了。
계정이 잠긴 것 같아요.	账号好像被锁了。
할인 코드(쿠폰) 적용됐나요?	折扣码（优惠券）用上了吗？
배송비는 얼마예요?	运费是多少？
총액이 25,900원 맞죠?	总金额是25,900韩元，对吧？
3일 안에 도착하면 좋겠어요.	如果能在3天内到就好了。
이번 주말에 시간 돼?	这周末你有时间吗？
다음 주 화요일은 어때?	下周二怎么样？
비가 와도 갈 거야.	就算下雨我也要去。
늦으면 연락해 줘.	如果晚了就联系我。
지금 출발했어.	我现在出发了。
10분 정도 늦을 것 같아.	我可能会迟到10分钟左右。
길이 막혀서 우회했어.	路上堵车，所以绕路了。
택시가 안 잡혀요.	打不到出租车。
지하철 2호선으로 갈아타야 해요.	要换乘地铁2号线。
출구는 3번이 맞나요?	出口是3号，对吗？
여기서 오른쪽으로 가면 돼요.	从这里往右走就可以。
그건 내가 잘못했어, 미안해.	是我做错了，对不起。
괜찮아, 다음엔 조심하자.	没关系，下次小心点就好。
오늘 기분이 좀 이상해.	今天心情有点怪。
배가 아파서 약을 먹었어.	我肚子疼，所以吃了药。
열이 38.5도까지 올랐어요.	烧到38.5度了。
병원 예약이 필요할까요?	需要预约医院吗？
알레르기가 있어서 새우는 못 먹어요.	我过敏，不能吃虾。
매운 건 조금만 넣어 주세요.	请少放一点辣。
설탕은 0g으로 해 주세요.	请做成0克糖。
물은 따뜻한 걸로 주세요.	请给我温水。
창문 좀 열어도 돼?	我可以开一下窗吗？
에어컨을 24도로 맞춰 줘.	请把空调调到24度。
난방은 꺼 주세요.	请把暖气关掉。
소리가 너무 커요, 조금 줄여 주세요.	声音太大了，请调小一点。
음악을 잠깐 멈춰 줘.	请把音乐先暂停一下。
지금 뭐 하고 있어?	你现在在做什么？
그냥 집에서 쉬고 있어.	我就在家休息。
오늘 저녁은 뭐 먹을까?	今天晚饭吃什么？
라면 말고 다른 거 먹자.	别吃拉面了，吃点别的吧。
냉장고에 우유가 없어요.	冰箱里没有牛奶了。
장바구니에 계란 12개 추가해 줘.	请在购物车里加12个鸡蛋。
비닐봉지 필요하세요?	您需要塑料袋吗？
이건 유통기한이 내일까지예요.	这个保质期到明天。
이 옷은 사이즈가 너무 커요.	这件衣服尺码太大了。
S로 바꿀 수 있나요?	可以换成S码吗？
